question_id,method,hop_count,hop_prefix,question,answer,gold_answer,em,f1,hit_at_k,recall_at_k,all_recall_at_k,mrr,precision_at_k,ndcg_at_k,contexts
2hop__623501_297043,Iterative Decomposition,2,2hop,What watercourse is the river on which the Lostock Dam is located the mouth of?,I don't know,Hunter River,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.9197207891481876,"[""Lostock Dam is a minor rockfill and clay core embankment dam with a concrete lined, flip bucket spillway across the Paterson River upstream of the village of East Gresford in the Hunter region of New South Wales, Australia. The dam's purpose includes flood mitigation, irrigation, water supply and conservation. Mini hydro-power facilities were retrofitted in 2010. The impounded reservoir is also called Lostock Dam."", ""The Parramatta River is an intermediate tide dominated, drowned valley estuary located in Sydney, New South Wales, Australia. With an average depth of , the Parramatta River is the main tributary of Sydney Harbour, a branch of Port Jackson. Secondary tributaries include the smaller Lane Cove and Duck rivers."", ""Paterson River, a perennial river that is part of the Hunter River catchment, is located in the Hunter and Mid North Coast regions of New South Wales, Australia."", ""The Tarka River is a river in the Eastern Cape, South Africa. Along with the Baviaans River, Grootbrak River and Kat River it is a major eastern tributary of the Great Fish River. The Lake Arthur Dam and the Kommandodrif Dam are located in this river. The latter is included in the Commando Drift Nature Reserve."", ""The Hudson River is a 315 - mile (507 km) river that flows from north to south primarily through eastern New York in the United States. The river originates in the Adirondack Mountains of Upstate New York, flows through the Hudson Valley, and eventually drains into the Atlantic Ocean, between New York City and Jersey City. The river serves as a political boundary between the states of New Jersey and New York, and further north between New York counties. The lower half of the river is a tidal estuary occupying the Hudson Fjord, an inlet which formed during the most recent period of North American glaciation, estimated at 26,000 to 13,300 years ago. Tidal waters influence the Hudson's flow from as far north as Troy."", ""Doubtful Creek, formerly known as Doubtful River, a watercourse that is part of the Murrumbidgee catchment within the Murray\u2013Darling basin, is located in the Snowy Mountains district of New South Wales, Australia."", ""It is located entirely within the county of Cumbria, and all the land in England higher than 3,000 feet (910 m) above sea level lies within the National Park, including Scafell Pike, the highest mountain in England. It also contains the deepest and longest bodies of water in England, respectively Wast Water and Windermere."", ""The Darling Mills Creek, an urban watercourse that is part of the Parramatta River catchment, is located in Greater Western Sydney, New South Wales, Australia.""]"
2hop__628752_538661,Iterative Decomposition,2,2hop,Where are the headquarters for the publisher of In the Shadow of Greatness?,"Annapolis, Maryland",Annapolis,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,"[""In the Shadow of Greatness is a 2012 book written by 33 members of the United States Naval Academy Class of 2002 and published by the United States Naval Institute. The authors describe how their lives were shaped by their experiences at the Academy, the September 11 attacks, and events following graduation."", ""The United States Naval Institute (USNI), based in Annapolis, Maryland, is a private, non-profit, professional military association that seeks to offer independent, nonpartisan forums for debate of national defense and security issues. In addition to publishing magazines and books, the Naval Institute holds several annual conferences."", ""The Shadow of Saganami is a science fiction novel by American writer David Weber, published in 2004. Set in the Honorverse, it has been billed as the first in the \""Saganami Island\"" series, spun off from the main Honor Harrington series. The book debuted at #16 on \""The New York Times\"" best seller list for hardcover fiction."", ""The Pentagon is the headquarters of the United States Department of Defense, located in Arlington County, Virginia, across the Potomac River from Washington, D.C. As a symbol of the U.S. military, The Pentagon is often used metonymically to refer to the U.S. Department of Defense."", ""The Revenge of the Shadow King is the first volume of three books in the Grey Griffins series written in collaborative writing by American authors Derek Benz and J.S. Lewis, and published by Orchard Books, an imprint of Scholastic Inc. The book follows the story of four friends who form The Order of the Grey Griffin."", ""The Franklin Institute is a science museum and the center of science education and research in Philadelphia, Pennsylvania. It is named after the American scientist and statesman, Benjamin Franklin, and houses the Benjamin Franklin National Memorial. Founded in 1824, the Franklin Institute is one of the oldest centers of science education and development in the United States."", ""Weird Shadows Over Innsmouth is an anthology of Cthulhu Mythos stories edited by Stephen Jones. It was published by Fedogan & Bremer in 2005 in an edition of 2,100 copies of which 100 were signed. The anthology contains a discarded draft of the H. P. Lovecraft novella \""The Shadow Over Innsmouth\"" and several stories by other authors written as sequels to the Lovecraft story. Eight of the stories are original to this collection. Others first appeared in the magazines \""The Acolyte\"" and \""The Spook\"" or in anthologies."", ""Shadow Star, known in Japan as , is a Japanese manga series created by Mohiro Kitoh, originally serialized in Kodansha's seinen magazine \""Afternoon\"". The Japanese name is an abbreviation of , which roughly translates to \""Corpse of a Star; A Precious Child\"". In the United States, it was licensed by Dark Horse and serialized in \""Super Manga Blast!\"".""]"
2hop__642686_7292,Iterative Decomposition,2,2hop,"Along with Kenny G and the performer of Hello Tomorrow, what artist was featured on Smooth Jazz Stations?",George Benson,George Benson,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,"[""Hello Tomorrow is the ninth studio album by saxophone player Dave Koz. It was his first album released by Concord Records on October 19, 2010. Koz himself provided vocals on \""This Guy's in Love with You\"". The album peaked at number 1 on Billboard Jazz Albums chart. on November 30, 2011, the album received a Nomination in 54th Grammy Awards for Best Pop Instrumental Album."", ""In its early years of existence, the smooth jazz format was considered to be a form of AC, although it was mainly instrumental, and related a stronger resemblance to the soft AC-styled music. For many years, artists like George Benson, Kenny G and Dave Koz had crossover hits that were played on both smooth jazz and soft AC stations."", ""Plots ranged from the simple ``dog - helps - person ''stories to secret agent - type adventures. The series theme song,`` Maybe Tomorrow'', was sung by Terry Bush. In 2005, Bush commercially released the song on his debut album, entitled Maybe Tomorrow. The song was later used in a 2011 Dulux paint advertisement. Additionally, in 2017, the song was in a Canada 150 Co-Op stores advertisement."", ""\""Soon\"" is a song written by Bob Regan and Casey Kelly, and recorded by American country music artist Tanya Tucker. It was released in October 1993 as the first single and title track from the album \""Soon\"". The song reached #2 on the \""Billboard\"" Hot Country Singles & Tracks chart."", ""Seeds from the Underground is a studio album by Kenny Garrett. It was released on April 10, 2012, on Mack Avenue Records and received two Grammy nominations in Best Jazz Instrumental Album and Best Improvised Jazz Solo categories, as well as a NAACP Image Award nomination in Outstanding Jazz Album category, a Soul Train Award nomination in Best Traditional Jazz Artist/Group category, a Jazz Awards nomination for Alto Saxophonist of the Year and an Echo Award win in the Saxophonist of the Year category."", ""Jason Paige (born January 6, 1969) is an American singer, writer, record producer, stage, film, and television actor. Paige is best known for singing the first theme song for the English version of the Pok\u00e9mon television series."", ""WEBZ is a commercial Urban Adult Contemporary radio station located in Mexico Beach, Florida (Panama City metro). Owned by iHeartMedia, the station broadcasts at 99.3 MHz. WEBZ airs an Urban Adult Contemporary format branded as \""99-3 The Beat\""."", ""\""Where Will I Be Now\"" is a pop single by the Bay City Rollers. It was the first of three singles released from their 1978 album \""Strangers in the Wind\"". The tune, written by British songwriter Chris East and featuring a lead vocal by Les McKeown, is an uptempo song with a heavily-orchestrated disco-style arrangement. It was released as a 7\"" vinyl single in Japan, Germany, and the United States.""]"
2hop__557496_57594,Iterative Decomposition,2,2hop,What gun does Amy Madigan's spouse used in westworld?,I don't know,LeMat revolver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""Amy Mitchell (Mila Kunis) is a married woman in the Chicago suburbs with two children, Jane (Oona Laurence) and Dylan (Emjay Anthony), who feels overworked and overcommitted. She works as a sales rep for a ``hip ''coffee company, prepares healthful, hand - packed lunches for her children, does most of their homework, goes to all of their extracurricular activities, and is active in her school's PTA, run by the domineering Gwendolyn James (Christina Applegate) and her cronies, Stacy (Jada Pinkett Smith) and Vicky (Annie Mumolo). When she catches her husband Mike (David Walton) cheating on her with a camgirl, Amy kicks him out and attempts to keep everything together."", ""The Thompson submachine gun is an American submachine gun invented by John T. Thompson in 1918 which became infamous during the Prohibition era, being a signature weapon of various crime syndicates in the United States. It was a common sight in the media of the time, being used by both law enforcement officers and criminals. The Thompson submachine gun was also known informally as the \""Tommy Gun\"", \""T\u00f4m S\u00f4ng\"", \""Annihilator\"", \""Chicago Typewriter\"", \""Chicago Submachine\"", \""Chicago Piano\"", \""Chicago Style\"", \""Chicago Organ Grinder\"", \""Trench Broom\"", \""Trench Sweeper\"", \""Drum Gun\"",\""The Chopper\"", and simply \""The Thompson\""."", ""Peggy Nadramia (born Margaret Nadramia) is an American magazine editor and administrator in the Church of Satan, of which she is the current High Priestess, and in which she is known as Magistra Nadramia, as well as the wife of current church head Peter H. Gilmore."", ""The 1847 Colt Walker was the largest and most powerful black powder repeating handgun ever made. It was created in the mid-1840s in a collaboration between Texas Ranger Captain Samuel Hamilton Walker (1817 -- 47) and American firearms inventor Samuel Colt (1814 -- 62), building upon the earlier Colt Paterson design. Walker wanted a handgun that was extremely powerful at close range."", ""Brian Thomas Moynihan (born October 19, 1959) is an American lawyer, businessman and the chairman and CEO of Bank of America. He joined the board of directors, following his promotion to president and CEO in 2010."", ""Cyberdyne Systems Series T-800 / T-850 Model 101, or \""The Terminator\"", is a fictional character from the \""Terminator\"" franchise portrayed by both Arnold Schwarzenegger and numerous actor stand-ins digitally overlaid with Schwarzenegger's likeness. The Terminator itself is part of a series of machines created by Skynet for infiltration-based assassination missions, and while an android for its appearance resembling a human, it is described as a cybernetic organism consisting of living tissue over a robotic endoskeleton."", ""The Rachel Maddow Show (also abbreviated TRMS) is a daily news and opinion television program that airs on MSNBC, running in the 9:00\u00a0pm ET timeslot Monday through Friday. It is hosted by Rachel Maddow, who gained a public profile via her frequent appearances as a progressive pundit on programs aired by MSNBC. It is based on her former radio show of the same name. The show debuted on September 8, 2008."", ""The .700 Nitro Express (17.8\u00d789mmR) is a big game rifle cartridge made by Holland & Holland, London, England. It was developed in 1988 by Jim Bell and William Feldstein and built by H&H. Feldstein had tried unsuccessfully to get H&H to build a .600 Nitro Express for him, but they had already ceased production. However, when Bell and Feldstein produced the entirely new .700 Nitro Express cartridge, they were able to attract the interest of H&H, which was looking for a new big-bore cartridge. After production began, the backlog of orders was so great that it continued to 2007 and H&H restarted the production of .600 Nitro Express guns.""]"
2hop__825727_584042,Iterative Decomposition,2,2hop,What league includes the sports team that has Maycon Carvalho Inez?,Goyang Hi FC,K-League,0.0,0.0,1.0,0.5,0.0,0.5,0.125,0.38685280723454163,"[""The LA Galaxy, also known as the Los Angeles Galaxy, is an American professional soccer franchise based in the Los Angeles suburb of Carson, California, that competes in Major League Soccer (MLS), as a member of the Western Conference. The club began play in 1996 as one of the league's eight charter members."", ""Maycon Calvalho Inez (born 21 July 1986) is a Brazilian football player who currently plays for Goyang Hi FC. He is known for his pace and ability to position himself inside the 18-yard box."", ""The Montreal Impact () is a Canadian professional soccer team based in Montreal, Quebec. The Impact competes as a member of the Eastern Conference in Major League Soccer (MLS). The team began play in 2012 as an expansion team of the league, being the league's third Canadian club, and replaced the North American Soccer League team of the same name."", ""The Colorado Rapids are an American professional soccer club based in the Denver suburb of Commerce City, Colorado. The Rapids compete in Major League Soccer (MLS) as a member of the Western Conference. The franchise began play in 1996 as one of the charter clubs in MLS."", ""Real Madrid Club de F\u00fatbol (Spanish pronunciation: [re\u02c8al ma\u02c8\u00f0\u027ei\u00f0 \u02c8klu\u03b2 \u00f0e \u02c8fu\u00f0\u03b2ol] (listen), meaning Royal Madrid Football Club), commonly referred to as Real Madrid, is a Spanish professional football club based in Madrid."", ""The New England Revolution is an American professional soccer club based in the Greater Boston area that competes in Major League Soccer (MLS), in the Eastern Conference of the league. It is one of the ten charter clubs of MLS, having competed in the league since its inaugural season."", ""The FIFA World Ranking is a ranking system for men's national teams in association football, currently led by Germany. The teams of the member nations of FIFA, football's world governing body, are ranked based on their game results with the most successful teams being ranked highest. The rankings were introduced in December 1992, and eight teams (Argentina, Belgium, Brazil, France, Germany, Italy, the Netherlands and Spain) have held the top position, of which Brazil have spent longest ranked first."", ""The San Jose Earthquakes are an American professional soccer team based in San Jose, California, United States, that competes as a member of the Western Conference of Major League Soccer (MLS). The franchise began play in 1996 (originally as the San Jose Clash) as one of the charter clubs of the league. The Earthquakes took part in the first game in MLS history, defeating D.C. United 1\u20130. The Earthquakes have won two MLS Cup titles, in 2001 and 2003, and two Supporters' Shields in 2005 and 2012. In 2002, the team played in its first CONCACAF Champions Cup (now called the CONCACAF Champions League), making it to the quarterfinals.""]"
2hop__252521_80650,Iterative Decomposition,2,2hop,Who played the character in the Santa Clause 3 that has a series named after it that includes Frost at Christmas?,Martin Short,Martin Short,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5706417189553201,"[""The Santa Clause is a 1994 American Christmas fantasy family comedy film directed by John Pasquin. The first film in the Santa Clause film series, it stars Tim Allen as Scott Calvin, an ordinary man who accidentally causes Santa Claus to fall from his roof on Christmas Eve. When he and his young son, Charlie, finish St. Nick's trip and deliveries, they go to the North Pole where Scott learns that he must become the new Santa and convince those he loves that he is indeed Father Christmas."", ""David Krumholtz (born May 15, 1978) is an American actor. He played Charlie Eppes in the CBS drama series Numb3rs. He also played Seth Goldstein in the Harold & Kumar film series and Bernard the Elf in the Santa Clause film series."", ""The film stars Tim Allen returning as Scott Calvin / Santa Claus and Martin Short as Jack Frost. Allen and Short had previously worked together in the 1997 Disney comedy feature film, Jungle 2 Jungle. Most of the supporting actors from the first two films reprise their roles, with the exception of David Krumholtz, who played Bernard the Arch - elf. As a result of his absence, Curtis (played by Spencer Breslin), who was previously the Assistant Head Elf, has now been promoted to Bernard's former position. Like the previous film, this film was shot in the Canadian cities of Vancouver and Calgary. This was Peter Boyle's final film to be released before he died from cancer one month after its release. (The 2008 film All Roads Lead Home would be released posthumously.)"", ""Frost at Christmas (1984) is the first of the series of novels written by R. D. Wingfield, the creator of the character Detective Inspector Jack Frost, who is more famously known in the television series \""A Touch of Frost\"", where the character is played by Sir David Jason. This novel was adapted into the TV episode 'Care and Protection', which was also the first in the series."", ""Spirit of Christmas is the name of two different animated short films made by Trey Parker and Matt Stone. They are precursors to the animated series \""South Park\"". To differentiate the two, they are often referred to as Jesus vs. Frosty (1992) and Jesus vs. Santa (1995)."", ""Released on November 1, 2002, the film received mixed reviews from critics and grossed $172 million worldwide on a $65 million budget. It was followed by another sequel, The Santa Clause 3: The Escape Clause, released in 2006."", ""Ernest Saves Christmas is a 1988 American Christmas comedy film directed by John R. Cherry III and starring Jim Varney. This is the first film to feature Gailard Sartain's character, Chuck along with Bill Byrge as his brother, Bobby. They made their first appearance in the television series \""Hey Vern, It's Ernest!\"", which was in production at the same time as this film. \""Ernest Saves Christmas\"" is the third film to feature Varney's character Ernest P. Worrell, and chronicles Ernest's attempt to help find a replacement for an aging Santa Claus."", ""A Touch of Frost is a television detective series produced by Yorkshire Television (later ITV Studios) for ITV from 6 December 1992 until 5 April 2010, initially based on the Frost novels by R.D. Wingfield. Writing credit for the three episodes in the first 1992 series went to Richard Harris.""]"
2hop__657913_88628,Iterative Decomposition,2,2hop,Who did the producer of Big Jim McLain play in True Grit?,I don't know,U.S. Marshal Rooster Cogburn,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.8772153153380493,"[""Big Jim McLain is a 1952 political thriller film starring John Wayne and James Arness as HUAC investigators hunting down communists in the post-war Hawaii organized labor scene. Edward Ludwig directed."", ""The Big Broadcast is a 1932 American Pre-Code musical comedy film directed by Frank Tuttle and starring Bing Crosby, Stuart Erwin, and Leila Hyams. Based on the play \""Wild Waves\"" by William Ford Manley, the film is about a radio-singer who becomes a popular hit with audiences, but takes a casual approach to his career. A casual affair leads to his dismissal, but his career is saved by the station manager who buys the station and gives him his job back. The film co-stars George Burns and Gracie Allen in supporting roles. \""The Big Broadcast\"" was produced by Paramount Pictures and was the first in a series of four \""Big Broadcast\"" movies."", ""Al Bell (born Alvertis Isbell, March 15, 1940) is an American record producer, songwriter, and record executive. He is best known as having been an executive and co-owner of Stax Records, based in Memphis, Tennessee, during the latter half of the label's 19-year existence."", ""True Grit is a 1969 American western film. It is the first film adaptation of Charles Portis' 1968 novel of the same name. The screenplay was written by Marguerite Roberts. The film was directed by Henry Hathaway and starred Kim Darby as Mattie Ross and John Wayne as U.S. Marshal Rooster Cogburn. Wayne won his only Academy Award for his performance in this film and reprised his role for the 1975 sequel Rooster Cogburn."", ""Morris Mike Medavoy (born January 21, 1941) is an American film producer and executive, co-founder of Orion Pictures (1978), former chairman of TriStar Pictures, former head of production for United Artists (1974\u20131978) and current chairman and CEO of Phoenix Pictures."", ""Rooster Cogburn is a 1975 American Western adventure film directed by Stuart Millar and starring John Wayne (in his penultimate film), reprising his role as U.S. Marshal Reuben J. \""Rooster\"" Cogburn, and Katharine Hepburn. Written by Martha Hyer, based on the character Rooster Cogburn created by Charles McColl Portis in his 1968 western novel \""True Grit\"", the film is about an aging one-eyed lawman whose badge was recently suspended for a string of routine arrests that ended in bloodshed. To earn back his badge, he is tasked with bringing down a ring of bank robbers that has hijacked a wagon shipment of nitroglycerin. He is helped by a spinster searching for her father's killer. \""Rooster Cogburn\"" is a sequel to the 1969 film \""True Grit\""."", ""Big Giant Swords is an American television series that premiered on January 13, 2015 on the Discovery Channel. The program follows sword maker Michael \""Irish Mike\"" Craughwell as he and his associates create custom oversized swords from scratch for his clients. Episodes focus on the creation process of one or two commissioned weapons as the team attempts to complete them to the customer's satisfaction in a set time period."", ""Frank Ross (John Pickard) is murdered by his hired hand, Tom Chaney (Jeff Corey). Ross's young daughter, Mattie (Kim Darby), travels to Fort Smith, Arkansas, where she hires aging U.S. Marshal Reuben ``Rooster ''J. Cogburn (John Wayne) to bring Chaney in, raising his fee by shrewdly horse trading with Colonel Stonehill (Strother Martin). Mattie has heard that Cogburn has`` true grit.'' She gives him a payment to track and capture Chaney, who has taken up with outlaw ``Lucky ''Ned Pepper (Robert Duvall) in Indian Territory (modern - day Oklahoma).""]"
2hop__476927_31270,Iterative Decomposition,2,2hop,How far is Hod Lisenbee's place of death in TN from Nashville?,I don't know,45,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.8315546295836225,"[""Lisenbee was born on September 23, 1898, in Clarksville, Tennessee, to John M. Lisenbee and Sarah Adiline Lisenbee, both of Clarksville, the second of six children. He attended Southwestern Presbyterian University, now Austin Peay State University in Clarksville, Tennessee, and he was married to Ms. Carrie West, a nurse graduate student. Together they had two daughters."", ""Tennessee (i/t\u025bn\u1d7b\u02c8si\u02d0/) (Cherokee: \u13d4\u13be\u13cf, Tanasi) is a state located in the southeastern United States. Tennessee is the 36th largest and the 17th most populous of the 50 United States. Tennessee is bordered by Kentucky and Virginia to the north, North Carolina to the east, Georgia, Alabama, and Mississippi to the south, and Arkansas and Missouri to the west. The Appalachian Mountains dominate the eastern part of the state, and the Mississippi River forms the state's western border. Tennessee's capital and second largest city is Nashville, which has a population of 601,222. Memphis is the state's largest city, with a population of 653,450."", ""Chattanooga is a city in the U.S. state of Tennessee, with a population of 177,571 in 2016. The fourth - largest Tennessee city, it is the seat of Hamilton County. Located in southeastern Tennessee, on the Tennessee River, served by multiple railroads and Interstate highways, Chattanooga is a transit hub. Chattanooga lies 120 miles (190 km) northwest of Atlanta, Georgia, 120 miles (190 km) southwest of Knoxville, Tennessee, 135 miles (217 km) southeast of Nashville, Tennessee, 120 miles (190 km) northeast of Huntsville, Alabama, and 148 miles (238 km) northeast of Birmingham, Alabama."", ""Nolensville is a town in Williamson County, Tennessee. The population was 5,861 at the 2010 census. It was established in 1797 by William Nolen, a veteran of the American Revolutionary War. Located in Middle Tennessee, it is about 22 miles southeast of Nashville, Tennessee. The town was re-incorporated in 1996."", ""Arcadia is an unincorporated community located in Sullivan County, Tennessee, just outside Kingsport's eastern city limits. Arcadia, originally known as the Reedy Creek Settlement, was one of the earliest settlements in present-day Tennessee. Daniel Boone's Wilderness Road ran through this community in 1775. Arcadia is listed in the National Register of Historical Places which includes the Thomas Fain Plantation. Thomas Fain named his plantation \""Arcadia\"" to which the surrounding community became known. Arcadia is part of the Kingsport\u2013Bristol (TN)\u2013Bristol (VA) Metropolitan Statistical Area, which is a component of the Johnson City\u2013Kingsport\u2013Bristol, TN-VA Combined Statistical Area \u2013 commonly known as the Tri-Cities region."", ""The capital is Nashville, though Knoxville, Kingston, and Murfreesboro have all served as state capitals in the past. Memphis has the largest population of any city in the state. Nashville's 13-county metropolitan area has been the state's largest since c. 1990. Chattanooga and Knoxville, both in the eastern part of the state near the Great Smoky Mountains, each has approximately one-third of the population of Memphis or Nashville. The city of Clarksville is a fifth significant population center, some 45 miles (72 km) northwest of Nashville. Murfreesboro is the sixth-largest city in Tennessee, consisting of some 108,755 residents."", ""The Mid-State Nashville - Davidson -- Murfreesboro -- Franklin, TN, Metropolitan Statistical Area Country United States State (s) Tennessee Largest city Nashville Other cities Murfreesboro, Franklin Area Total 7,484 sq mi (19,380 km) Highest elevation 2,092 ft (638 m) Lowest elevation 359 ft (109 m) Population (2016 est.) Total 1,865,298 Rank 36th in the U.S. Density 240 / sq mi (106 / km)"", ""Middle Valley is a census-designated place (CDP) in Hamilton County, Tennessee, United States. The population was 12,684 at the 2010 census. It is part of the Chattanooga, TN\u2013GA Metropolitan Statistical Area.""]"
2hop__56851_343058,Iterative Decomposition,2,2hop,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,I don't know,Adrian Edmondson,0.0,0.0,1.0,0.5,0.0,1.0,0.125,0.6131471927654584,"[""Shrek 2 is a 2004 American computer - animated fantasy film produced by DreamWorks Animation and directed by Andrew Adamson, Kelly Asbury and Conrad Vernon. It is the sequel to 2001's Shrek, with Mike Myers, Eddie Murphy and Cameron Diaz reprising their respective voice roles of Shrek, Donkey, and Fiona from the first film, joined by Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, and Jennifer Saunders. Sometime after the first film, Shrek, Donkey and Fiona go to visit Fiona's parents (voiced by Andrews and Cleese), while Shrek and Donkey discover that a greedy Fairy God Mother (voiced by Saunders) is plotting to destroy Shrek and Fiona's marriage so Fiona can marry her son, Prince Charming (voiced by Everett). Shrek and Donkey team up with a swashbuckling cat named Puss in Boots (voiced by Banderas) to stop her."", ""John Paxton (May 21, 1911, Kansas City, Missouri - January 5, 1985, Santa Monica, California) was an American screenwriter. He was married to Sarah Jane, who worked in public relations for 20th Century Fox."", ""Princess Fiona is a fictional main character who serves as the female lead in DreamWorks' animated Shrek film series. She made her first appearance in the first film in the franchise, Shrek (2001), voiced by American actress Cameron Diaz."", ""Jim Clancy, played by David Conrad is Melinda's (Jennifer Love Hewitt) husband. He is the only cast member other than Hewitt to appear in every episode."", ""Shrek the Third is a 2007 American computer - animated fantasy comedy film and the third installment in the Shrek franchise, produced by DreamWorks Animation. It is the sequel to 2004's Shrek 2, and is the first in the series to be distributed by Paramount Pictures, which acquired DreamWorks Pictures, the former parent of DreamWorks Animation, in 2006. Chris Miller and Raman Hui directed and co-directed the film, respectively, with the former also co-writing the screenplay with Jeffrey Price, Peter S. Seaman, and Aron Warner. In addition to Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Rupert Everett, Julie Andrews, and John Cleese, who reprise their roles from Shrek 2, the film also features Justin Timberlake in the role of Arthur Pendragon and Eric Idle as Merlin. Harry Gregson - Williams composed the original music for the film. The story takes place eight months after the marriage of Shrek and Fiona in the first film. Reluctantly reigning over the kingdom of Far, Far Away, Shrek sets out to find the next heir to the throne -- Fiona's cousin Artie, while Prince Charming is plotting to overthrow Shrek and become king."", ""Jenny Sarah Slate (born March 25, 1982) is an American comedian, actress, voice actress and author, best known for her role as Donna Stern in Obvious Child, as well as being the co-creator of the Marcel the Shell with Shoes On short films and children's book series. She is also known for being a cast member on Saturday Night Live for the 2009 / 10 season and for her appearances in shows such as House of Lies, Married, Parks and Recreation, Bob's Burgers, Hello Ladies, Kroll Show, and Girls."", ""King Harold (voiced by John Cleese) was the king of Far Far Away, husband of Queen Lillian, father of Princess Fiona, and father in - law of Shrek."", ""Claudia Grace Wells (born July 5, 1966) is an American actress best known for her role as Jennifer Parker in the film Back to the Future (1985).""]"
2hop__80070_89752,Iterative Decomposition,2,2hop,What is the largest state in the region where the Handmaid's Tale takes place?,Maine,Maine,1.0,1.0,1.0,0.5,0.0,0.5,0.125,0.38685280723454163,"[""The Handmaid's Tale is a dystopian novel by Canadian author Margaret Atwood, originally published in 1985. It is set in a near - future New England, in a totalitarian state resembling a theonomy, which has overthrown the United States government. The novel focuses on the journey of the handmaid Offred. Her name derives from the possessive form ``of Fred ''; handmaids are forbidden to use their birth names and must echo the male, or master, whom they serve."", ""The states of New England have a combined area of 71,991.8 square miles (186,458 km), making the region slightly larger than the state of Washington and larger than England. Maine alone constitutes nearly one - half of the total area of New England, yet is only the 39th - largest state, slightly smaller than Indiana. The remaining states are among the smallest in the U.S., including the smallest state -- Rhode Island."", ""The Handmaid's Tale is set in the Republic of Gilead, a theonomic military dictatorship formed within the borders of what was formerly the United States of America."", ""Boston (pronounced i/\u02c8b\u0252st\u0259n/) is the capital and largest city of the Commonwealth of Massachusetts in the United States. Boston also served as the historic county seat of Suffolk County until Massachusetts disbanded county government in 1999. The city proper covers 48 square miles (124 km2) with an estimated population of 655,884 in 2014, making it the largest city in New England and the 24th largest city in the United States. The city is the economic and cultural anchor of a substantially larger metropolitan area called Greater Boston, home to 4.7 million people and the tenth-largest metropolitan statistical area in the country. Greater Boston as a commuting region is home to 8.1 million people, making it the sixth-largest combined statistical area in the United States."", ""The Handmaid's Tale is an American web television series created by Bruce Miller, based on the 1985 novel of the same name by Margaret Atwood. It was ordered by streaming service Hulu with a straight - to - series order of 10 episodes, with the production beginning in late 2016. The plot follows a dystopian future following a Second American Civil War where women, called ``Handmaids '', are forced into sexual and child - bearing servitude."", ""New York covers 54,555 square miles (141,300 km) and ranks as the 27th largest state by size. The highest elevation in New York is Mount Marcy in the Adirondacks, at 5,344 feet (1,629 meters) above sea level; while the state's lowest point is at sea level, on the Atlantic Ocean."", ""The Handmaid's Tale is an American television series created by Bruce Miller based on the 1985 novel of the same name by Canadian writer Margaret Atwood. It was ordered by streaming service Hulu with a straight - to - series order of 10 episodes, with the production beginning in late 2016."", ""A global city, Boston is placed among the top 30 most economically powerful cities in the world. Encompassing $363 billion, the Greater Boston metropolitan area has the sixth-largest economy in the country and 12th-largest in the world.""]"
