question_id,method,hop_count,hop_prefix,question,answer,gold_answer,em,f1,hit_at_k,recall_at_k,all_recall_at_k,mrr,precision_at_k,ndcg_at_k,contexts
2hop__623501_297043,No-RAG,2,2hop,What watercourse is the river on which the Lostock Dam is located the mouth of?,River Irwell,Hunter River,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__628752_538661,No-RAG,2,2hop,Where are the headquarters for the publisher of In the Shadow of Greatness?,I don't know.,Annapolis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__642686_7292,No-RAG,2,2hop,"Along with Kenny G and the performer of Hello Tomorrow, what artist was featured on Smooth Jazz Stations?",I don't know.,George Benson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__557496_57594,No-RAG,2,2hop,What gun does Amy Madigan's spouse used in westworld?,I don't know.,LeMat revolver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__825727_584042,No-RAG,2,2hop,What league includes the sports team that has Maycon Carvalho Inez?,I don't know.,K-League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__252521_80650,No-RAG,2,2hop,Who played the character in the Santa Clause 3 that has a series named after it that includes Frost at Christmas?,Donovan Leitch,Martin Short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__657913_88628,No-RAG,2,2hop,Who did the producer of Big Jim McLain play in True Grit?,Rooster Cogburn,U.S. Marshal Rooster Cogburn,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__476927_31270,No-RAG,2,2hop,How far is Hod Lisenbee's place of death in TN from Nashville?,I don't know.,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__56851_343058,No-RAG,2,2hop,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,I don't know.,Adrian Edmondson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__80070_89752,No-RAG,2,2hop,What is the largest state in the region where the Handmaid's Tale takes place?,Massachusetts,Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__6827_86319,No-RAG,2,2hop,Who is the CEO of FleetBoston Financial's purchaser?,I don't know.,Brian Thomas Moynihan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__132909_33564,No-RAG,2,2hop,During which era was the company that makes Nirbhay founded?,I don't know.,From the 1950s to the 1970s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__29367_29376,No-RAG,2,2hop,What event caused the Liberal Party of Australia's longest-serving leader to become Prime Minister?,I don't know.,Lyons' death in 1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__85713_84469,No-RAG,2,2hop,"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",I don't know.,Bill Pullman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__358270_108549,No-RAG,2,2hop,Who wrote the TV Series containing the Finale episodes?,I don't know.,Alfred Gough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__424908_500483,No-RAG,2,2hop,"What shares a border with the administrative district where Bieliny, Świętokrzyskie Voivodeship is the capital?",I don't know.,Gmina Daleszyce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__17827_54024,No-RAG,2,2hop,Which king sold part of the Crown Freehold and commissioned a bible translation?,Edward VI,King James I of England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__32541_85460,No-RAG,2,2hop,What is the median household income for people today of the same country as the witness to the Blitz?,I don't know.,"$59,039",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__175175_347233,No-RAG,2,2hop,In which county did Snappy Tomato Pizza form?,"Cuyahoga County, Ohio",Kenton County,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__776637_87295,No-RAG,2,2hop,Who does the cast member from Julie play in Princess Diaries?,I don't know.,Queen dowager Clarisse Renaldi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
